pickup_hour,mae
0,2.7888489677194963
1,2.6330352327713045
2,2.3910570768815167
3,2.18626804461006
4,3.777560643436982
5,6.064211183971041
6,5.428640474233412
7,4.717073334102453
8,4.2660479952930626
9,4.315211244753729
10,4.438119301736301
11,4.42040552440597
12,4.391700509636598
13,4.538375490941691
14,4.324036800381236
15,4.358771474871568
16,4.394999176203735
17,4.0010988412814
18,3.525982203203089
19,3.0890726526945174
20,2.6282225232711514
21,2.621184529532756
22,2.60921093927821
23,2.5789074491555275
